S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
1,Greater Mumbai,Mumbai(C),5154,5969,89,8760,251,0,3244,0,0,170,93,0,6,17,0,62,20,184,195,2,4,65
2,Greater Mumbai,Mumbai(W),10738,5552,90,8227,100,0,723,0,4460,0,94,0,7,14,0,56,4,269,665,33,3,0
3,Greater Mumbai,Mumbai€,6525,1813,427,2245,257,57,24,0,2633,0,64,2,26,11,0,19,0,58,412,0,0,20
4,Greater Mumbai,Borivali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Thane Region,Thane,20117,6299,489,20165,2469,0,536,0,2692,36,119,0,52,7,0,1957,157,1748,534,41,180,49
6,Thane Region,Kalyan,7271,2694,403,1034,230,0,94,0,1743,41,14,0,4,12,0,126,3,128,325,12,11,4
7,Thane Region,Vashi Navi Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Thane Region,Vasai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Panvel Region,Panvel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Panvel Region,Pen-Raigad,7449,3069,348,4081,673,2,162,0,775,3,10,1,1,7,0,355,58,462,213,45,23,39
11,Panvel Region,Ratnagiri,4041,781,157,414,181,0,12,0,539,0,8,2,0,0,0,126,18,187,141,15,11,8
12,Panvel Region,Sindhudurg,2712,390,194,218,73,4,2,0,763,0,0,0,2,1,0,60,0,116,112,12,17,0
13,Kolhapur Region,Kolhapur,19160,953,3011,1350,664,2,0,0,499,0,24,0,0,7,0,362,22,243,246,540,1034,3
14,Kolhapur Region,Sangli,12482,931,1305,924,443,4,52,0,143,0,0,1,2,5,0,310,67,290,235,738,866,9
15,Kolhapur Region,Satara,13882,551,1306,1008,607,0,8,0,241,124,6,4,0,1,0,341,10,375,370,821,890,9
16,Kolhapur Region,Karad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Pune Region,Pune,41214,9945,8277,9151,1649,3,14,0,2868,525,141,0,4,27,0,809,51,880,853,1243,920,31
18,Pune Region,Solapur,14021,423,2742,763,689,23,0,0,326,0,5,0,0,1,0,330,1,355,145,980,1295,0
19,Pune Region,Pimpri-Chinchwad,15226,5413,2030,2684,796,0,11,0,455,54,80,0,0,5,0,371,1,561,525,231,202,0
20,Pune Region,Baramati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Pune Region,Akluj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Nashik Region,Nashik,23100,5401,3115,2683,1623,0,129,0,1221,0,4,2,11,11,0,427,21,498,214,2117,1058,0
23,Nashik Region,Ahmednagar,9549,550,1498,725,316,0,27,0,169,0,3,0,0,2,0,120,1,239,264,497,526,2
24,Nashik Region,Srirampur,10814,83,788,480,266,9,73,0,62,0,0,4,1,2,0,223,48,232,201,586,650,11
25,Nashik Region,Malegaon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Dhule Region,Dhule,6542,184,1322,364,272,1,163,0,478,0,3,2,2,2,0,304,8,145,155,421,504,4
27,Dhule Region,Jalgaon,12627,796,2773,844,354,0,84,0,866,0,67,0,0,5,0,236,0,104,286,718,820,5
28,Dhule Region,Nandurbar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Aurangabad Region,Aurangabad,14673,3022,602,1528,642,2,45,0,1501,528,3,14,3,2,0,518,7,395,178,485,36,0
30,Aurangabad Region,Jalna,3613,57,414,238,171,0,8,0,116,0,0,0,0,0,0,96,0,142,10,328,306,0
31,Aurangabad Region,Beed,5075,26,891,260,383,0,0,0,276,0,0,2,3,0,0,149,1,111,18,500,473,0
32,Latur Region,Latur,4355,84,831,344,274,0,29,0,348,0,0,3,0,1,0,175,3,114,103,367,339,0
33,Latur Region,Osmanabad,2603,75,63,227,75,0,0,0,44,0,0,0,0,1,0,46,0,91,69,364,284,7
34,Latur Region,Ambejogai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Nanded Region,Nanded,4191,457,552,401,238,0,0,0,733,0,0,2,8,0,0,337,0,65,13,236,286,0
36,Nanded Region,Parbhani,3744,54,675,208,186,0,15,0,275,0,0,0,0,0,0,117,0,40,1,210,221,0
37,Nanded Region,Hingoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Amrawati Region,Amrawati,6419,1214,3273,597,175,1,39,0,691,3,14,2,0,1,0,53,0,66,171,235,175,94
39,Amrawati Region,Buldhana,5576,213,1122,264,172,1,49,0,823,0,3,7,3,2,0,64,0,105,135,516,431,1
