S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
1,Greater Mumbai,Mumbai[C],12141,6243,0,13266,227,4,3590,251,0,509,12,4,7,13,0,9,0,296,264,0,0,2
2,Greater Mumbai,Mumbai[W],29038,3010,4,23904,0,0,1653,339,5451,0,17,60,19,26,0,38,0,336,978,0,0,0
3,Greater Mumbai,Mumbai[E],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Greater Mumbai,Borivali,14779,1100,0,7450,525,7,1554,94,3406,0,16,4,29,22,0,45,0,268,362,0,2,5
5,Thane Region,Thane,41846,6293,48,30934,740,29,131,1472,4356,36,663,2,32,23,78,2096,974,2635,6339,75,566,623
6,Thane Region,Kalyan,25324,0,0,5626,3,0,109,61,1972,3,34,3,5,21,0,148,1,299,467,98,27,38
7,Thane Region,Vashi Navi Mumbai,5235,7547,0,10665,160,0,0,283,606,49,209,23,21,35,0,934,257,256,1095,0,460,10
8,Thane Region,Vasai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Panvel Region,Panvel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Panvel Region,Pen-Raigad,22184,0,0,8698,1131,0,0,267,349,3,29,12,43,48,1013,958,116,1254,374,161,27,280
11,Panvel Region,Ratnagiri,7821,3601,420,2000,372,6,0,31,363,2,26,2,1,17,0,163,0,461,258,7,5,181
12,Panvel Region,Sindhudurg,5120,1157,216,956,132,0,190,0,476,202,5,0,4,3,1,217,0,283,68,19,6,0
13,Kolhapur Region,Kolhapur,42080,1871,5,4310,225,4,0,56,399,0,40,21,3,21,117,390,24,609,335,725,366,31
14,Kolhapur Region,Sangli,22445,1796,1125,2321,896,0,193,28,266,0,0,15,0,15,0,303,2,859,354,938,600,61
15,Kolhapur Region,Satara,23674,2141,2192,3488,770,0,111,66,281,0,21,28,1,11,0,683,0,1157,412,1428,1305,119
16,Kolhapur Region,Karad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Pune Region,Pune,102456,51,113,30047,915,0,0,1363,1132,0,636,19,0,83,0,1745,113,1643,1769,693,21,317
18,Pune Region,Solapur,24087,2096,2089,1740,620,0,0,103,505,0,6,4,4,22,0,87,124,580,582,724,198,6
19,Pune Region,Pimpri-Chinchwad,48385,130,325,11924,128,13,0,830,222,170,294,5,10,34,0,590,6,1377,795,779,104,108
20,Pune Region,Baramati,13975,297,1,2236,163,0,0,17,497,0,10,5,6,5,0,237,63,567,283,1289,1428,70
21,Pune Region,Akluj,11810,0,0,1451,72,0,0,76,195,0,15,2,4,0,1,48,46,271,283,913,524,123
22,Nashik Region,Nashik,45261,3979,101,9968,433,1,87,89,626,0,116,6,0,23,15,246,41,1641,406,2441,995,51
23,Nashik Region,Ahmednagar,19025,2952,426,2018,499,0,1,125,670,0,3,4,11,6,0,248,12,820,408,1235,605,148
