S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
1,Greater Mumbai,Mumbai[C],12318,2374,17,7831,206,1,1150,0,0,134,105,0,76,18,0,22,0,141,335,2,2,26
2,Greater Mumbai,Mumbai[W],19989,6696,0,10048,346,0,527,0,12284,0,127,8,48,13,0,7,0,125,903,13,2,0
3,Greater Mumbai,Mumbai[E],10613,1490,177,2799,33,1,248,0,4421,0,24,0,26,7,0,8,0,48,474,0,1,5
4,Greater Mumbai,Borivali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Thane Region,Thane,29316,5729,1137,18446,3874,1,1474,0,3678,0,198,26,43,30,0,3564,0,1854,1860,42,160,82
6,Thane Region,Kalyan,10317,2644,688,1316,187,0,125,0,1781,25,8,2,2,12,0,98,12,103,354,6,7,4
7,Thane Region,Vashi Navi Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Thane Region,Vasai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Panvel Region,Panvel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Panvel Region,Pen-Raigad,10012,1706,5,3781,734,2,2006,0,221,10,25,3,1,21,0,812,54,426,217,33,37,150
11,Panvel Region,Ratnagiri,5910,361,0,555,103,0,9,0,1089,0,9,1,0,12,0,68,0,213,160,9,10,0
12,Panvel Region,Sindhudurg,3085,210,332,414,68,15,14,0,1040,0,2,4,1,6,0,130,0,100,96,13,24,2
13,Kolhapur Region,Kolhapur,20544,1804,2605,1834,284,1,20,0,340,1,67,0,3,11,0,248,35,209,332,376,519,7
14,Kolhapur Region,Sangli,12657,823,1488,788,441,16,87,0,199,0,5,1,6,6,0,135,4,265,380,334,304,1
15,Kolhapur Region,Satara,14042,255,1221,846,306,0,72,0,274,0,1,2,1,3,0,228,10,198,701,466,408,0
16,Kolhapur Region,Karad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Pune Region,Pune,48466,14244,6716,11125,1638,3,485,0,3062,282,249,0,0,19,0,548,54,894,1778,379,341,25
18,Pune Region,Solapur,15722,560,2130,591,470,0,39,0,412,0,7,0,0,6,0,91,6,352,272,444,279,0
19,Pune Region,Pimpri-Chinchwad,21643,1671,2311,2670,483,0,80,0,263,0,38,0,0,8,0,322,0,727,686,328,148,6
20,Pune Region,Baramati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Pune Region,Akluj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Nashik Region,Nashik,28432,2186,3209,2849,1176,1,192,0,1573,0,9,0,0,9,0,488,16,1129,224,1291,949,2
23,Nashik Region,Ahmednagar,11704,459,1240,754,115,1,90,0,227,0,4,0,2,3,0,71,0,258,356,264,210,29
24,Nashik Region,Srirampur,10618,78,628,529,189,0,198,0,254,0,2,3,0,12,0,126,0,236,410,334,348,8
25,Nashik Region,Malegaon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
