S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
1,Greater Mumbai,Mumbai[C],16830,4838,0,12722,125,0,844,0,0,315,95,4,16,33,0,216,3,608,479,0,0,42
2,Greater Mumbai,Mumbai[W],30310,10300,0,21085,1504,0,1380,0,3558,0,163,81,43,30,0,480,0,750,2177,29,2,121
3,Greater Mumbai,Mumbai[E],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Greater Mumbai,Borivali,17939,2459,286,6377,0,0,306,0,2060,0,15,36,33,12,0,0,1,335,1128,0,1,74
5,Thane Region,Thane,43595,6905,71,24206,164,1996,2340,0,3241,275,572,60,117,16,338,5201,883,3095,3912,39,161,131
6,Thane Region,Kalyan,19223,5522,0,2528,138,0,289,0,865,0,3,27,7,19,0,258,23,205,947,61,18,31
7,Thane Region,Vashi Navi Mumbai,14262,930,0,8082,342,196,1010,0,516,0,131,0,6,4,43,1316,204,1144,2167,11,347,19
8,Thane Region,Vasai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Panvel Region,Panvel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Panvel Region,Pen-Raigad,24879,1317,0,6793,950,0,1038,0,514,0,38,25,35,42,0,1775,121,914,857,117,1996,511
11,Panvel Region,Ratnagiri,5108,3835,0,1092,45,0,102,0,678,0,24,1,0,9,0,211,15,300,371,16,17,19
12,Panvel Region,Sindhudurg,4834,728,213,424,118,0,8,0,535,0,4,2,5,1,0,198,0,170,61,21,13,14
13,Kolhapur Region,Kolhapur,29127,1370,684,2373,568,0,80,0,272,8,46,9,3,6,0,648,28,382,668,797,937,71
14,Kolhapur Region,Sangli,18975,1209,995,1465,290,55,65,0,323,0,2,12,4,8,0,558,4,524,682,571,625,28
15,Kolhapur Region,Satara,19824,1093,1351,1506,527,0,454,0,555,0,18,17,5,8,0,1041,19,789,736,977,802,49
16,Kolhapur Region,Karad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Pune Region,Pune,76850,13400,14156,25088,3519,1,2887,0,3753,10,753,33,63,46,0,1973,97,2215,1930,864,78,687
18,Pune Region,Solapur,17699,1311,1274,952,235,0,101,0,91,11,5,3,13,7,36,373,72,441,679,560,445,51
19,Pune Region,Pimpri-Chinchwad,39936,7687,355,7979,812,0,1602,0,219,50,219,0,2,26,0,1283,5,1190,2026,588,328,170
20,Pune Region,Baramati,12332,299,0,653,216,0,81,0,61,0,5,1,8,4,0,541,18,447,378,779,1251,35
21,Pune Region,Akluj,10268,1,1,481,309,9,73,0,113,43,20,2,3,3,0,109,0,251,383,799,722,23
22,Nashik Region,Nashik,34851,8373,90,4770,1265,0,205,0,657,52,26,13,19,14,2,620,61,1312,294,1266,190,60
23,Nashik Region,Ahmednagar,19157,898,793,978,263,0,274,0,101,15,7,0,5,10,1,489,32,606,640,645,503,338
24,Nashik Region,Srirampur,14934,563,525,776,181,0,138,0,374,0,1,12,4,12,0,357,54,482,651,723,366,23
25,Nashik Region,Malegaon,11321,232,143,494,65,0,126,0,473,0,2,12,1,0,0,478,17,285,98,688,593,0
26,Dhule Region,Dhule,7666,250,903,637,150,22,233,0,552,0,2,6,5,1,0,1432,1,145,261,409,311,12
27,Dhule Region,Jalgaon,19821,2792,362,1334,171,6,247,0,397,4,0,1,572,6,0,649,1,162,597,960,503,13
28,Dhule Region,Nandurbar,5767,0,1,290,109,287,30,0,22,7,0,5,0,2,0,115,1,95,195,527,309,11
29,Aurangabad Region,Aurangabad,28964,2024,0,1790,492,0,0,0,1307,633,43,24,60,27,0,166,18,375,1281,742,347,7
30,Aurangabad Region,Jalna,7108,654,14,559,292,0,0,0,159,0,0,16,16,6,0,111,2,239,618,461,184,0
31,Aurangabad Region,Beed,4122,56,345,193,309,0,0,0,420,0,0,0,0,0,0,28,0,64,305,212,94,4
32,Latur Region,Latur,9708,507,1197,958,225,0,38,0,438,0,9,2,0,15,0,352,0,91,594,791,440,3
33,Latur Region,Osmanabad,4676,88,53,220,53,0,32,0,531,0,0,21,0,0,0,68,30,404,469,255,103,0
34,Latur Region,Ambejogai,2740,13,337,222,168,0,0,0,497,0,0,0,0,0,0,128,0,76,279,293,166,3
35,Nanded Region,Nanded,9978,219,601,585,291,16,54,0,1135,0,2,2,0,13,0,575,0,93,327,303,195,2
36,Nanded Region,Parbhani,6886,66,282,327,108,0,22,0,489,0,1,1,1,9,52,147,8,18,176,536,387,58
37,Nanded Region,Hingoli,3349,0,6,144,62,0,4,0,219,0,6,0,0,2,0,20,1,48,71,304,201,13
38,Amrawati Region,Amrawati,16322,1354,2274,962,137,0,50,0,846,20,10,1,0,12,0,331,0,207,270,347,156,5
39,Amrawati Region,Buldhana,11620,524,685,250,150,0,42,0,1138,0,2,22,0,2,0,393,4,233,316,541,172,6
40,Amrawati Region,Yawatmal,9079,1005,1265,558,158,0,40,0,1134,0,8,3,0,3,228,196,0,279,268,592,392,7
41,Amrawati Region,Akola,10903,1345,1193,612,30,0,83,0,696,0,0,2,0,3,0,157,0,213,187,339,137,15
42,Amrawati Region,Washim,4722,190,331,183,77,0,11,0,557,0,3,1,0,2,0,52,2,98,99,395,132,0
43,Nagpur[U] Region,Nagpur,32286,10284,10043,5076,2191,163,227,0,395,0,29,52,0,20,44,977,61,322,505,99,56,62
44,Nagpur[U] Region,Wardha,8446,548,1909,267,90,0,8,0,410,2,0,7,0,2,0,67,0,271,199,369,139,30
45,Nagpur[U] Region,Nagpur[East],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Nagpur[R] Region,Nagpur,11067,5623,4418,540,256,33,44,0,297,293,11,9,0,8,18,508,7,310,159,635,184,82
47,Nagpur[R] Region,Gadchiroli,2792,461,3,99,16,0,3,0,74,0,0,0,0,4,0,18,0,63,17,233,146,0
48,Nagpur[R] Region,Chandrapur,11669,1112,1852,845,148,0,45,0,677,0,3,12,1,7,130,832,6,288,140,621,235,16
49,Nagpur[R] Region,Gondia,5792,975,323,188,32,0,1,0,163,0,3,7,1,1,0,118,1,102,17,343,246,5
50,Nagpur[R] Region,Bhandara,5784,0,455,285,11,0,4,0,101,0,5,3,1,1,111,203,12,109,0,481,194,8
