S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
1,Greater Mumbai,Mumbai[C],10533,2632,0,10362,253,0,1886,405,0,599,29,0,1,16,0,22,0,290,188,0,0,8
2,Greater Mumbai,Mumbai[W],27096,4167,5,19866,249,0,1206,729,3315,0,64,73,28,39,0,71,0,313,888,0,6,5
3,Greater Mumbai,Mumbai[E],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Greater Mumbai,Borivali,12919,1587,1,6701,54,23,858,284,1780,0,10,17,17,23,0,0,0,188,369,0,0,167
5,Thane Region,Thane,40734,3951,16,23275,518,1,70,2202,1178,0,519,0,8,83,6,1853,705,2011,4716,28,246,4
6,Thane Region,Kalyan,22815,0,0,3885,6,0,4,134,862,0,24,3,4,33,0,225,9,247,449,113,52,66
7,Thane Region,Vashi Navi Mumbai,11345,177,0,9586,162,0,0,731,227,33,337,30,39,24,0,939,186,147,978,0,428,11
8,Thane Region,Vasai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Panvel Region,Panvel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Panvel Region,Pen-Raigad,24361,0,0,9761,1233,11,5,789,323,11,57,24,39,63,1490,1404,140,1045,475,218,159,1092
11,Panvel Region,Ratnagiri,5675,2054,466,1395,349,16,18,80,249,0,28,3,0,16,0,143,0,300,248,2,9,57
12,Panvel Region,Sindhudurg,4642,926,72,787,127,0,0,36,412,0,8,1,2,15,4,165,3,259,35,40,27,0
13,Kolhapur Region,Kolhapur,23057,2381,1244,2909,667,0,10,59,347,0,47,0,6,4,25,489,45,204,416,703,536,54
14,Kolhapur Region,Sangli,17049,1515,879,2042,381,0,26,44,245,0,1,9,1,3,0,399,16,421,479,551,339,16
15,Kolhapur Region,Satara,18363,1404,1794,2352,444,0,210,176,121,0,26,17,1,6,0,748,25,882,425,939,617,60
16,Kolhapur Region,Karad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Pune Region,Pune,88286,3382,2678,26873,1393,0,0,1354,1123,0,503,0,5,63,0,1216,230,1863,1613,674,140,360
18,Pune Region,Solapur,17167,1886,1484,1505,361,0,0,214,178,0,1,9,18,12,0,258,54,435,444,602,300,26
19,Pune Region,Pimpri-Chinchwad,46371,0,0,11912,0,0,0,1014,72,73,261,3,4,33,0,999,7,1256,1463,922,287,206
20,Pune Region,Baramati,11610,295,118,1640,208,11,0,225,19,0,14,1,3,5,0,358,8,627,299,979,702,40
21,Pune Region,Akluj,9395,1,0,761,121,0,0,45,19,0,3,3,2,4,24,59,8,280,244,624,292,51
22,Nashik Region,Nashik,36436,2829,789,7089,996,0,66,57,457,0,89,35,14,37,0,453,18,805,641,1995,1922,62
23,Nashik Region,Ahmednagar,17019,1953,603,1513,178,0,42,125,354,0,5,2,5,11,3,275,22,548,492,1084,629,120
24,Nashik Region,Srirampur,15044,1033,770,1288,391,0,40,127,391,0,1,13,5,4,0,189,13,367,548,1007,351,49
25,Nashik Region,Malegaon,12000,2,22,909,6,0,48,19,539,0,13,5,1,1,0,250,6,513,18,1297,1119,0
26,Dhule Region,Dhule,5687,649,798,747,172,0,0,105,137,24,14,8,2,0,2,447,13,108,143,535,369,7
27,Dhule Region,Jalgaon,15937,2346,295,1750,173,11,24,192,740,0,21,10,0,4,0,455,0,165,567,826,799,66
28,Dhule Region,Nandurbar,4823,421,158,404,279,115,0,17,4,0,0,0,0,3,0,49,0,143,220,528,249,1
29,Aurangabad Region,Aurangabad,32285,1878,0,1726,500,0,0,0,696,708,45,32,78,24,0,249,12,495,1317,840,403,0
30,Aurangabad Region,Jalna,5520,510,37,539,226,0,0,4,229,0,0,0,6,3,0,119,0,200,523,567,221,3
31,Aurangabad Region,Beed,3878,94,347,228,365,0,0,0,385,0,0,0,0,0,0,25,0,90,320,201,96,0
32,Latur Region,Latur,9778,924,1126,1176,360,0,0,39,323,12,5,8,5,1,0,254,0,74,421,448,213,31
33,Latur Region,Osmanabad,6004,163,99,249,168,0,0,86,164,0,0,3,0,4,0,306,0,135,59,393,157,9
34,Latur Region,Ambejogai,3397,0,134,202,106,0,0,34,305,0,0,2,0,0,0,30,11,29,58,186,116,0
35,Nanded Region,Nanded,9143,702,937,861,593,0,0,139,1275,0,3,0,12,8,2,310,74,408,395,317,122,2
36,Nanded Region,Parbhani,6572,198,179,387,163,0,1,30,569,0,2,4,0,9,53,204,8,40,200,478,174,13
37,Nanded Region,Hingoli,3415,0,39,195,63,0,0,4,205,0,6,0,0,3,0,26,4,27,47,341,239,0
38,Amrawati Region,Amrawati,13629,1351,1954,1251,130,0,0,93,573,0,29,14,0,10,0,390,4,246,120,687,244,11
39,Amrawati Region,Buldhana,9483,313,959,363,173,0,3,48,843,0,0,12,0,5,0,141,4,207,198,943,371,9
40,Amrawati Region,Yawatmal,9618,1767,1093,1011,190,0,9,70,488,0,5,5,0,3,0,178,0,278,171,1035,477,0
41,Amrawati Region,Akola,8193,3643,123,1103,50,0,0,116,586,0,1,9,1,8,0,91,2,207,151,505,244,17
42,Amrawati Region,Washim,4835,358,292,224,126,0,0,59,419,0,1,5,0,2,0,26,1,54,84,574,301,1
43,Nagpur[U] Region,Nagpur,23909,17938,12064,6876,3117,0,0,350,181,14,129,59,81,11,9,591,379,797,330,207,81,1
44,Nagpur[U] Region,Wardha,5862,335,1994,374,97,4,0,67,268,0,19,5,3,3,0,94,3,151,238,673,252,21
45,Nagpur[U] Region,Nagpur[East],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Nagpur[R] Region,Nagpur,14076,3864,3080,764,523,0,0,94,273,293,22,5,0,6,1,294,11,335,73,967,233,99
47,Nagpur[R] Region,Gadchiroli,3254,533,0,166,0,0,0,4,37,0,1,5,2,8,0,18,0,57,31,208,90,4
48,Nagpur[R] Region,Chandrapur,10922,1982,1753,1290,138,0,0,96,316,0,6,17,4,18,61,493,15,302,62,708,209,39
49,Nagpur[R] Region,Gondia,6711,645,229,327,89,0,0,12,92,0,3,1,0,4,0,44,4,67,2,171,109,9
50,Nagpur[R] Region,Bhandara,5455,701,796,297,51,0,0,21,35,0,3,4,3,10,7,119,0,42,10,375,179,23
