S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
1,Greater Mumbai,Mumbai[C],16938,7633,1,18515,258,0,5175,573,0,552,0,0,0,10,0,2,0,358,272,0,0,6
2,Greater Mumbai,Mumbai[W],30636,11161,7,26380,208,0,924,517,4504,0,244,275,10,48,0,75,0,468,1121,0,0,0
3,Greater Mumbai,Mumbai[E],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Greater Mumbai,Borivali,19850,3381,5,12246,264,2,1276,298,3310,0,12,90,0,17,0,0,0,310,516,0,0,2
5,Thane Region,Thane,57372,12630,67,29181,884,0,236,3173,1478,195,1047,19,52,129,65,3165,790,3738,6605,122,671,431
6,Thane Region,Kalyan,33541,253,0,8231,213,0,22,163,744,10,62,2,7,24,2,269,1,583,684,31,7,18
7,Thane Region,Vashi Navi Mumbai,16361,271,0,13042,222,0,0,630,444,116,314,35,43,39,2,1717,168,309,1237,0,694,20
8,Thane Region,Vasai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Panvel Region,Panvel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Panvel Region,Pen-Raigad,22137,0,0,8581,997,0,0,443,157,16,50,20,49,25,1573,1006,223,1232,252,187,40,293
11,Panvel Region,Ratnagiri,8671,3901,317,2048,587,2,0,35,384,2,18,11,24,12,10,263,0,656,251,9,12,160
12,Panvel Region,Sindhudurg,6444,1644,308,1315,368,0,49,0,525,532,6,0,1,10,0,511,2,422,82,22,6,0
13,Kolhapur Region,Kolhapur,52057,4946,575,6392,916,0,52,71,229,0,57,41,5,9,57,769,68,1050,816,1404,1229,143
14,Kolhapur Region,Sangli,29591,2150,2710,3673,1053,0,177,0,67,0,0,21,1,14,0,820,1,1209,462,1733,955,160
15,Kolhapur Region,Satara,30555,3802,3437,4722,984,0,88,295,266,7,12,52,5,17,0,1048,5,1528,454,2032,1257,158
16,Kolhapur Region,Karad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Pune Region,Pune,127960,0,0,39430,1069,0,0,1474,1385,0,685,190,0,54,0,3443,319,2119,2186,649,56,585
18,Pune Region,Solapur,26186,2927,2315,2155,816,0,0,73,324,26,15,11,15,11,0,207,32,395,857,1215,850,2
19,Pune Region,Pimpri-Chinchwad,72227,0,0,20403,134,0,0,1457,273,267,533,0,0,39,0,1118,6,2005,911,701,58,383
20,Pune Region,Baramati,19332,1019,1,2443,185,2,0,21,73,4,11,8,1,5,0,384,6,696,384,1663,1567,77
21,Pune Region,Akluj,14982,0,0,1463,108,0,0,17,154,0,9,0,0,1,0,152,0,561,13,963,649,77
22,Nashik Region,Nashik,56205,6757,148,11307,993,0,116,198,740,100,158,43,1,28,2,551,88,2288,514,3701,1719,169
23,Nashik Region,Ahmednagar,24173,4231,452,2566,591,0,0,187,227,1,4,8,4,9,0,452,23,927,428,2021,1890,161
24,Nashik Region,Srirampur,24446,4441,4761,2399,776,0,166,116,178,0,13,24,0,1,61,197,10,569,855,1745,979,186
25,Nashik Region,Malegaon,18516,372,441,1840,28,0,81,21,722,0,2,27,0,9,0,222,0,288,434,2261,1715,0
26,Dhule Region,Dhule,14666,1338,1227,1365,535,0,37,39,339,0,4,6,0,5,0,817,20,176,364,1173,832,41
27,Dhule Region,Jalgaon,29738,5139,810,1760,310,1,128,22,1083,0,17,24,4,11,0,391,7,166,1167,2224,1195,29
28,Dhule Region,Nandurbar,6730,1774,54,1003,384,153,15,0,10,0,2,0,0,1,0,17,1,180,263,999,451,2
29,Aurangabad Region,Aurangabad,37377,1010,0,1847,889,0,0,0,1038,689,51,53,138,23,0,386,14,1010,1606,1179,599,0
30,Aurangabad Region,Jalna,17300,395,957,1000,341,0,0,0,265,0,7,21,0,0,0,99,2,141,516,997,356,24
31,Aurangabad Region,Beed,5735,216,208,328,444,0,0,0,465,0,0,0,0,0,0,144,0,286,539,382,130,0
32,Latur Region,Latur,13421,1784,2475,1733,576,0,5,71,384,0,0,22,0,5,0,217,0,302,603,586,208,74
33,Latur Region,Osmanabad,10123,1087,248,688,279,0,0,89,144,0,0,4,2,2,0,381,1,283,89,844,248,22
