S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
1,Greater Mumbai,Mumbai (C),14366,4460,0,11803,101,0,512,0,0,863,90,2,49,40,1,75,5,557,456,2,2,78
2,Greater Mumbai,Mumbai (W),24902,10825,0,20519,1461,0,966,0,3966,0,188,72,63,52,242,0,0,580,2031,31,5,86
3,Greater Mumbai,Mumbai (E),15569,1849,254,5754,0,0,308,0,2531,0,46,30,27,8,0,0,0,264,1131,0,0,6
4,Greater Mumbai,Borivali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Thane Region,Thane,35390,6618,76,13795,198,845,2838,0,2801,0,1909,0,142,17,401,3525,662,2730,3290,49,18,0
6,Thane Region,Kalyan,20220,371,0,2258,168,0,290,0,1463,0,29,0,7,14,0,156,30,250,584,35,9,14
7,Thane Region,Vashi N.mumbai,11201,2144,5,4455,25,0,885,0,892,0,94,0,46,6,10,1094,210,864,966,20,0,0
8,Thane Region,Vasai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Panvel Region,Panvel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Panvel Region,Pen-Raigad,18276,1567,0,8504,1147,0,1033,0,381,0,51,9,51,40,1100,1706,66,1358,541,75,95,633
11,Panvel Region,Ratnagiri,7224,579,0,843,161,0,46,0,443,0,6,0,0,8,0,160,0,273,279,7,13,23
12,Panvel Region,Sindhudurg,4799,576,316,338,108,0,8,0,457,0,8,4,2,6,0,104,4,181,62,31,25,4
13,Kolhapur Region,Kolhapur,27867,17,2,2264,483,0,57,0,275,0,30,2,6,7,0,357,59,122,922,603,588,58
14,Kolhapur Region,Sangli,15314,1030,1260,1477,321,0,53,0,315,0,3,6,3,9,0,279,7,463,458,538,366,11
15,Kolhapur Region,Satara,17056,509,716,1518,306,0,185,0,568,15,21,6,5,7,0,670,13,647,496,738,423,31
16,Kolhapur Region,Karad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Pune Region,Pune,69541,15690,9842,21059,2501,1,1310,0,3016,436,317,30,69,45,0,1884,77,1774,1458,338,10,275
18,Pune Region,Solapur,14163,1253,1565,988,262,0,31,0,204,0,8,0,6,5,0,154,7,386,406,302,252,3
19,Pune Region,Pimpri-Chinchwad,34752,6318,221,6533,790,0,802,0,384,93,216,0,1,13,6,730,0,913,1737,530,205,107
20,Pune Region,Baramati,11191,117,1,506,183,0,45,0,166,0,14,1,8,6,0,223,17,402,246,560,715,20
21,Pune Region,Akluj,6640,4,0,472,203,0,15,0,98,0,0,1,0,2,0,88,6,233,158,470,318,6
22,Nashik Region,Nashik,32168,4647,585,5240,1229,0,90,0,655,2,22,14,29,17,1,222,14,1487,194,1497,524,166
23,Nashik Region,A'madnagar,16954,780,998,861,280,0,293,0,176,0,2,2,2,3,0,235,20,511,511,417,219,193
24,Nashik Region,S'rampur,14070,428,602,744,184,0,259,0,224,0,1,16,2,4,0,126,30,361,425,615,251,29
25,Nashik Region,Malegaon,10824,200,163,644,51,0,192,0,444,44,2,7,0,6,0,139,17,332,188,664,542,4
26,Dhule Region,Dhule,7289,160,915,827,213,3,141,0,386,0,12,9,4,4,353,2,2,117,282,371,309,5
27,Dhule Region,Jalgaon,19328,1793,907,1498,297,0,299,0,690,0,7,4,218,12,0,374,5,277,511,765,446,24
28,Dhule Region,Nandurbar,5702,0,2,278,110,75,27,0,168,0,0,4,1,5,0,43,0,64,171,516,329,0
29,Aurangabad Region,Aurangabad,25239,2345,1,2189,362,0,0,0,1328,403,24,2,64,9,0,164,27,268,848,625,263,55
30,Aurangabad Region,Jalna,7447,327,0,412,228,0,42,0,102,0,0,2,0,3,0,93,0,90,238,472,202,5
31,Aurangabad Region,Beed,4033,27,282,207,201,0,0,0,248,0,0,0,1,0,0,35,0,26,159,190,118,2
32,Latur Region,Latur,7436,360,1002,839,302,0,70,0,391,0,0,3,2,3,0,108,0,54,667,627,155,6
