S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
1,Greater Mumbai,Mumbai[C],13306,4451,5,11046,612,0,953,0,0,231,233,0,52,42,1,229,0,543,455,0,1,87
2,Greater Mumbai,Mumbai[W],23959,10566,0,16226,519,0,801,,5320,0,194,286,27,52,0,24,1,189,2235,9,0,40
3,Greater Mumbai,Mumbai[E],12982,2095,192,4795,0,0,225,,2505,0,46,48,47,8,0,0,0,242,824,0,0,3
4,Greater Mumbai,Borivali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Thane Region,Thane,31599,6944,149,23084,1406,0,3844,,2174,0,2983,48,61,78,720,6497,1283,5354,4292,61,33,1
6,Thane Region,Kalyan,16988,1068,0,1778,253,0,137,,1754,0,28,0,2,11,1,158,29,209,528,17,17,17
7,Thane Region,Vashi Navi Mumbai,9643,411,0,5412,1856,0,643,,391,17,710,0,97,31,335,1131,0,724,354,0,29,0
8,Thane Region,Vasai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Panvel Region,Panvel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Panvel Region,Pen-Raigad,13634,1935,0,5288,1210,6,471,,359,10,46,6,28,44,1260,1584,123,1103,349,69,25,403
11,Panvel Region,Ratnagiri,7176,895,0,692,180,0,34,,301,0,14,1,0,20,0,123,2,270,226,17,34,29
12,Panvel Region,Sindhudurg,4288,418,364,331,108,1,3,,476,0,3,1,3,24,0,81,2,87,109,16,10,2
13,Kolhapur Region,Kolhapur,27448,819,593,2293,460,0,33,,222,47,27,1,9,42,0,299,41,152,648,279,247,31
14,Kolhapur Region,Sangli,13158,1128,1926,1239,280,23,69,,242,0,5,2,4,42,0,232,13,302,523,283,142,9
15,Kolhapur Region,Satara,14637,483,1132,1230,329,0,129,,368,21,7,6,2,31,2,433,2,443,531,309,174,24
16,Kolhapur Region,Karad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Pune Region,Pune,59381,16690,8115,17914,1797,0,1366,,2574,291,914,80,11,63,0,1543,130,774,1129,303,151,53
18,Pune Region,Solapur,14152,1038,1647,707,354,0,58,,200,0,9,0,0,37,0,179,0,539,201,141,87,3
