S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
1,Greater Mumbai,Mumbai[C],16176,6490,1,13250,176,0,533,731,0,232,68,0,22,16,0,250,0,541,278,0,1,57
2,Greater Mumbai,Mumbai[W],29218,2066,3,21448,1082,0,187,1291,2471,0,82,21,37,29,0,156,0,568,1335,3,30,15
3,Greater Mumbai,Mumbai[E],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Greater Mumbai,Borivali,16637,2306,57,7313,622,0,118,468,1490,0,4,35,20,14,0,0,0,234,691,0,1,152
5,Thane Region,Thane,50565,2487,20,22988,260,1,98,4254,2221,0,899,0,0,0,3,4991,838,2782,5062,0,494,21
6,Thane Region,Kalyan,22116,1005,0,3225,72,6,2,250,785,29,22,12,21,10,0,286,18,213,623,88,54,53
7,Thane Region,Vashi Navi Mumbai,12716,163,0,11165,217,0,0,1261,457,31,346,14,32,41,0,2297,445,667,1501,0,778,12
8,Thane Region,Vasai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Panvel Region,Panvel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Panvel Region,Pen-Raigad,27360,630,0,8383,1121,11,3,935,559,1,40,19,30,39,1145,1988,186,1009,670,185,891,696
11,Panvel Region,Ratnagiri,6702,1205,185,1082,266,2,12,57,437,0,24,3,3,7,0,197,0,323,407,16,9,33
12,Panvel Region,Sindhudurg,5401,539,115,565,129,0,0,7,303,0,6,0,5,4,0,234,0,275,56,39,33,6
13,Kolhapur Region,Kolhapur,22544,2225,784,2509,478,0,0,73,326,0,74,0,2,5,0,509,62,293,515,829,805,98
14,Kolhapur Region,Sangli,15980,1094,949,1785,301,0,63,53,196,3,3,6,1,8,0,481,10,427,657,543,530,56
15,Kolhapur Region,Satara,17062,1394,1583,2001,389,0,377,124,162,0,18,11,11,10,0,884,27,909,603,1043,830,69
16,Kolhapur Region,Karad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Pune Region,Pune,85352,703,1444,25056,2837,0,0,2354,2566,0,1096,4,5,59,1,1853,190,2011,2893,653,29,793
18,Pune Region,Solapur,13035,1876,932,1165,332,0,0,104,78,11,2,11,16,12,26,227,77,514,494,670,431,22
19,Pune Region,Pimpri-Chinchwad,47762,663,2,11024,229,0,0,1201,289,0,458,0,5,23,0,1372,31,1285,1668,729,344,314
20,Pune Region,Baramati,11636,297,37,661,165,0,0,131,19,0,1,1,11,4,0,514,25,551,255,826,966,67
21,Pune Region,Akluj,8602,0,14,791,93,2,0,50,12,0,0,3,0,3,0,82,10,220,270,623,559,76
22,Nashik Region,Nashik,31209,6272,126,6277,1530,0,119,28,573,4,48,23,18,13,3,693,53,912,1083,1851,489,94
23,Nashik Region,Ahmednagar,16773,1117,888,1188,393,0,21,183,19,0,8,1,11,6,0,542,23,671,863,1058,829,673
24,Nashik Region,Srirampur,14843,663,628,1171,335,1,26,136,396,0,4,14,1,5,1,339,60,357,883,1089,471,60
25,Nashik Region,Malegaon,12703,210,148,763,48,0,43,30,571,0,0,6,1,2,0,414,9,316,214,1281,1029,0
26,Dhule Region,Dhule,7188,504,941,639,218,0,137,0,511,0,4,0,0,0,0,1104,4,188,262,430,372,10
27,Dhule Region,Jalgaon,18093,2869,500,1435,254,3,149,34,713,0,16,8,232,2,0,499,2,241,580,1096,512,11
28,Dhule Region,Nandurbar,5225,229,189,271,105,1,23,10,288,0,1,4,0,3,0,85,1,79,213,493,295,21
29,Aurangabad Region,Aurangabad,33919,2158,0,2014,586,0,0,0,1002,829,56,36,85,35,0,244,13,496,1421,848,395,8
30,Aurangabad Region,Jalna,6531,763,17,619,332,0,0,0,192,0,0,13,20,4,0,128,0,266,723,509,194,0
31,Aurangabad Region,Beed,4584,79,383,236,387,0,0,0,413,0,0,0,0,0,0,33,0,82,321,249,107,2
32,Latur Region,Latur,6022,147,180,383,154,0,9,0,486,0,24,4,0,4,2,361,0,80,505,797,449,8
33,Latur Region,Osmanabad,4922,87,52,255,82,0,43,0,551,0,0,27,0,0,0,79,38,460,559,287,121,0
34,Latur Region,Ambejogai,2978,19,362,249,201,0,0,0,463,0,0,0,0,0,0,133,0,96,318,339,141,0
35,Nanded Region,Nanded,8914,597,921,762,326,0,167,0,1110,5,0,0,0,18,1,690,6,86,507,418,221,10
36,Nanded Region,Parbhani,6003,147,180,381,154,0,42,0,719,0,3,6,1,6,90,178,23,64,256,612,305,12
37,Nanded Region,Hingoli,3710,0,8,181,131,0,8,0,66,72,0,0,5,1,0,58,1,55,76,429,241,2
38,Amrawati Region,Amrawati,13268,1590,2129,1132,144,0,0,66,877,3,29,3,0,10,0,296,0,302,259,672,283,8
39,Amrawati Region,Buldhana,11890,339,1002,322,188,0,0,170,1003,0,0,4,0,8,0,229,0,307,232,931,336,34
40,Amrawati Region,Yawatmal,8502,1271,1476,791,177,0,0,130,671,0,10,10,0,8,28,342,0,315,238,863,543,0
41,Amrawati Region,Akola,8667,2326,399,805,55,0,0,114,783,0,0,3,0,3,0,131,0,201,244,503,278,14
42,Amrawati Region,Washim,4780,310,327,201,99,0,0,94,596,0,1,7,0,3,0,40,0,127,106,736,373,0
43,Nagpur[U] Region,Nagpur,27683,16590,6981,4847,2938,0,0,416,302,0,140,39,3,20,0,554,341,785,344,82,68,23
44,Nagpur[U] Region,Wardha,7613,0,2082,392,124,0,0,13,424,0,0,5,1,1,0,92,2,116,209,674,314,24
45,Nagpur[U] Region,Nagpur[East],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Nagpur[R] Region,Nagpur,15827,2987,1420,614,375,0,0,80,243,366,25,9,11,11,34,646,27,341,140,899,309,113
47,Nagpur[R] Region,Gadchiroli,2714,525,0,67,33,0,1,3,49,0,4,1,0,2,0,51,2,75,8,286,166,1
48,Nagpur[R] Region,Chandrapur,11259,1613,2093,1009,185,0,0,66,448,0,13,22,2,15,190,969,6,312,92,794,236,30
49,Nagpur[R] Region,Gondia,5895,375,152,223,81,0,0,3,81,1,9,4,1,2,0,55,1,61,2,282,152,6
50,Nagpur[R] Region,Bhandara,4935,0,744,218,24,1,0,2,37,0,0,4,0,13,3,112,4,72,8,455,181,4
