S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
1,Greater Mumbai,Mumbai[C],9533,2723,149,8457,360,0,1571,0,0,156,72,1,66,16,0,35,24,157,178,0,0,30
2,Greater Mumbai,Mumbai[W],12620,5798,25,9642,278,0,382,0,4305,0,99,19,30,20,0,13,3,145,570,20,6,0
3,Greater Mumbai,Mumbai[E],8351,1051,201,2529,109,4,87,0,1874,0,19,0,7,6,0,5,0,33,308,0,0,10
4,Greater Mumbai,Borivali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Thane Region,Thane,21850,4304,1634,15519,2748,5,909,0,5398,30,136,24,46,9,0,3075,92,1413,1249,76,128,122
6,Thane Region,Kalyan,7423,2044,1312,1087,206,0,100,0,1943,0,5,2,6,11,0,127,0,109,240,13,6,9
7,Thane Region,Vashi Navi Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Thane Region,Vasai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Panvel Region,Panvel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Panvel Region,Pen-Raigad,8990,2350,2,2748,758,2,1743,0,702,0,6,149,5,13,0,218,241,801,372,48,48,74
11,Panvel Region,Ratnagiri,5131,479,0,648,128,6,11,0,1925,0,9,1,0,5,0,64,11,194,194,31,29,11
12,Panvel Region,Sindhudurg,3097,289,279,277,24,36,106,0,884,0,1,2,9,2,0,109,0,179,93,13,43,3
13,Kolhapur Region,Kolhapur,21851,1120,2429,1777,538,1,0,0,578,0,16,0,0,18,0,215,28,138,290,511,832,7
14,Kolhapur Region,Sangli,14182,725,1188,917,535,28,30,0,126,0,2,1,7,5,0,166,11,262,251,555,650,4
15,Kolhapur Region,Satara,13343,352,1212,870,368,2,35,0,267,76,1,2,1,9,0,165,0,171,525,644,451,3
16,Kolhapur Region,Karad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Pune Region,Pune,46625,10357,5427,11010,1813,0,259,0,3046,28,119,0,0,24,0,523,77,740,1323,659,586,27
18,Pune Region,Solapur,14694,353,2387,613,601,10,0,0,402,0,6,0,0,4,0,88,1,319,136,576,430,0
19,Pune Region,Pimpri-Chinchwad,19270,4468,2830,2866,806,0,54,0,497,0,30,0,0,10,0,370,0,394,574,344,212,4
20,Pune Region,Baramati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Pune Region,Akluj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Nashik Region,Nashik,26972,2822,2437,2462,1322,1,165,0,1483,0,3,0,0,11,0,315,19,740,244,1433,909,5
23,Nashik Region,Ahmednagar,11585,214,1024,807,231,0,18,0,182,0,0,1,2,6,0,122,0,256,263,463,413,14
24,Nashik Region,Srirampur,13387,57,770,621,261,0,131,0,295,0,0,12,1,5,0,182,12,226,322,534,528,8
25,Nashik Region,Malegaon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Dhule Region,Dhule,6588,98,1200,343,203,0,163,0,272,0,7,0,2,1,0,276,14,114,104,261,214,10
27,Dhule Region,Jalgaon,15232,399,2833,1020,293,0,163,0,931,0,30,1,0,11,0,228,3,114,263,563,576,5
28,Dhule Region,Nandurbar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Aurangabad Region,Aurangabad,16466,1480,351,1616,437,0,0,0,1841,587,0,33,0,8,0,590,9,620,19,410,122,0
30,Aurangabad Region,Jalna,3898,13,312,229,219,0,0,0,83,0,0,2,0,0,0,66,0,117,10,211,184,0
31,Aurangabad Region,Beed,4863,11,622,268,280,0,0,0,292,0,0,2,0,0,0,176,0,102,30,317,223,0
32,Latur Region,Latur,4729,60,609,395,185,0,104,0,371,0,0,4,4,3,0,95,0,223,119,194,183,0
33,Latur Region,Osmanabad,2706,25,172,199,0,0,27,0,131,0,0,0,0,2,0,30,0,90,146,286,200,1
34,Latur Region,Ambejogai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Nanded Region,Nanded,5711,246,588,350,293,0,0,0,894,0,0,0,2,0,0,199,0,48,0,75,102,0
36,Nanded Region,Parbhani,3298,47,650,208,189,0,0,0,280,0,0,0,0,0,0,68,0,4,0,90,92,0
37,Nanded Region,Hingoli,1011,2,104,40,42,0,0,0,66,0,0,0,0,1,0,7,0,16,2,74,52,0
38,Amrawati Region,Amrawati,7621,576,4155,757,259,0,193,0,590,5,5,1,10,6,0,64,2,32,138,127,67,2
39,Amrawati Region,Buldhana,6803,105,1148,275,136,0,147,0,693,0,8,4,1,2,0,56,0,72,129,256,235,0
40,Amrawati Region,Yawatmal,5854,270,2824,331,141,0,182,0,531,0,1,0,0,1,0,81,2,53,115,154,147,0
41,Amrawati Region,Akola,6207,718,3303,523,161,0,695,0,167,0,0,2,0,6,0,95,4,63,118,175,116,0
42,Amrawati Region,Washim,1392,27,225,60,20,0,41,0,205,0,2,2,0,2,0,14,0,14,40,135,102,0
43,Nagpur[U] Region,Nagpur,28272,6170,13745,4512,676,0,120,0,402,1,2,41,147,19,0,960,22,483,246,175,159,54
44,Nagpur[U] Region,Wardha,2864,513,1400,100,95,0,13,0,299,0,0,2,0,0,0,10,0,16,43,74,90,0
45,Nagpur[U] Region,Nagpur[East],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Nagpur[R] Region,Nagpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Nagpur[R] Region,Gadchiroli,1618,161,36,43,50,0,25,0,4,0,0,0,1,5,0,2,0,22,1,60,50,3
48,Nagpur[R] Region,Chandrapur,1943,631,7719,491,208,5,38,0,121,0,5,1,3,6,0,518,1,80,95,202,156,24
49,Nagpur[R] Region,Gondia,4057,346,1195,201,78,0,54,0,12,0,0,7,0,0,0,99,0,73,19,195,169,1
50,Nagpur[R] Region,Bhandara,1520,45,354,65,11,0,16,0,15,0,0,0,0,1,0,12,0,8,20,69,58,0
